,studentID,Gender,School,Term,Subject,RitScore,Grade,Teacher,istepScore
0,0.0,1.0,School A,Fall 2017-2018,Mathematics,206.0,3,Smith,450.0
1,0.0,1.0,School A,Fall 2017-2018,Reading,179.0,3,Smith,451.0
2,0.0,1.0,School A,Fall 2018-2019,Mathematics,182.0,4,Brown,519.0
3,0.0,1.0,School A,Fall 2018-2019,Reading,212.0,4,Brown,477.0
4,0.0,1.0,School A,Winter 2017-2018,Mathematics,215.333160550229,3,Smith,450.0
5,0.0,1.0,School A,Winter 2017-2018,Reading,204.0,3,Smith,451.0
6,0.0,1.0,School A,Winter 2018-2019,Mathematics,225.0,4,Brown,519.0
7,0.0,1.0,School A,Winter 2018-2019,Reading,219.25852907773594,4,Brown,477.0
8,0.0,1.0,School A,Spring 2017-2018,Mathematics,217.46926943442188,3,Smith,450.0
9,0.0,1.0,School A,Spring 2017-2018,Reading,176.0,3,Smith,451.0
10,0.0,1.0,School A,Spring 2018-2019,Mathematics,243.0,4,Brown,519.0
11,0.0,1.0,School A,Spring 2018-2019,Reading,220.45920930488094,4,Brown,477.0
12,1.0,0.0,School B,Fall 2017-2018,Mathematics,203.0,3,Williams,473.0
13,1.0,0.0,School B,Fall 2017-2018,Reading,167.0,3,Williams,467.0
14,1.0,0.0,School B,Fall 2018-2019,Mathematics,188.0,4,White,493.0
15,1.0,0.0,School B,Fall 2018-2019,Reading,207.0,4,White,464.0
16,1.0,0.0,School B,Winter 2017-2018,Mathematics,210.93903596663588,3,Williams,473.0
17,1.0,0.0,School B,Winter 2017-2018,Reading,188.0,3,Williams,467.0
18,1.0,0.0,School B,Winter 2018-2019,Mathematics,199.0,4,White,493.0
19,1.0,0.0,School B,Winter 2018-2019,Reading,211.94105372378593,4,White,464.0
20,1.0,0.0,School B,Spring 2017-2018,Mathematics,217.36528462888526,3,Williams,473.0
21,1.0,0.0,School B,Spring 2017-2018,Reading,238.0,3,Williams,467.0
22,1.0,0.0,School B,Spring 2018-2019,Mathematics,204.0,4,White,493.0
23,1.0,0.0,School B,Spring 2018-2019,Reading,214.29438203795496,4,White,464.0
24,2.0,0.0,School C,Fall 2017-2018,Mathematics,202.0,3,Davis,480.0
25,2.0,0.0,School C,Fall 2017-2018,Reading,188.0,3,Davis,447.0
26,2.0,0.0,School C,Fall 2018-2019,Mathematics,189.0,4,Hill,503.0
27,2.0,0.0,School C,Fall 2018-2019,Reading,207.0,4,Hill,477.0
28,2.0,0.0,School C,Winter 2017-2018,Mathematics,209.94450699914069,3,Davis,480.0
29,2.0,0.0,School C,Winter 2017-2018,Reading,196.0,3,Davis,447.0
30,2.0,0.0,School C,Winter 2018-2019,Mathematics,236.0,4,Hill,503.0
31,2.0,0.0,School C,Winter 2018-2019,Reading,212.47808281318356,4,Hill,477.0
32,2.0,0.0,School C,Spring 2017-2018,Mathematics,215.4280316769603,3,Davis,480.0
33,2.0,0.0,School C,Spring 2017-2018,Reading,182.0,3,Davis,447.0
34,2.0,0.0,School C,Spring 2018-2019,Mathematics,222.0,4,Hill,503.0
35,2.0,0.0,School C,Spring 2018-2019,Reading,214.32104982514502,4,Hill,477.0
36,3.0,1.0,School A,Fall 2017-2018,Mathematics,193.0,3,Miller,473.0
37,3.0,1.0,School A,Fall 2017-2018,Reading,195.0,3,Miller,475.0
38,3.0,1.0,School A,Fall 2018-2019,Mathematics,193.0,4,Taylor,503.0
39,3.0,1.0,School A,Fall 2018-2019,Reading,191.0,4,Taylor,493.0
40,3.0,1.0,School A,Winter 2017-2018,Mathematics,200.71039379574276,3,Miller,473.0
41,3.0,1.0,School A,Winter 2017-2018,Reading,174.0,3,Miller,475.0
42,3.0,1.0,School A,Winter 2018-2019,Mathematics,206.0,4,Taylor,503.0
43,3.0,1.0,School A,Winter 2018-2019,Reading,196.03724523615102,4,Taylor,493.0
44,3.0,1.0,School A,Spring 2017-2018,Mathematics,205.77902301271538,3,Miller,473.0
45,3.0,1.0,School A,Spring 2017-2018,Reading,184.0,3,Miller,475.0
46,3.0,1.0,School A,Spring 2018-2019,Mathematics,201.0,4,Taylor,503.0
47,3.0,1.0,School A,Spring 2018-2019,Reading,199.385596903963,4,Taylor,493.0
48,4.0,1.0,School B,Fall 2017-2018,Mathematics,187.0,3,Schaffer,450.0
49,4.0,1.0,School B,Fall 2017-2018,Reading,181.0,3,Schaffer,456.0
50,4.0,1.0,School B,Fall 2018-2019,Mathematics,197.0,4,Clark,498.0
51,4.0,1.0,School B,Fall 2018-2019,Reading,204.0,4,Clark,498.0
52,4.0,1.0,School B,Winter 2017-2018,Mathematics,196.7163212662552,3,Schaffer,450.0
53,4.0,1.0,School B,Winter 2017-2018,Reading,185.0,3,Schaffer,456.0
54,4.0,1.0,School B,Winter 2018-2019,Mathematics,229.0,4,Clark,498.0
55,4.0,1.0,School B,Winter 2018-2019,Reading,210.51060660385647,4,Clark,498.0
56,4.0,1.0,School B,Spring 2017-2018,Mathematics,198.82085452878982,3,Schaffer,450.0
57,4.0,1.0,School B,Spring 2017-2018,Reading,196.0,3,Schaffer,456.0
58,4.0,1.0,School B,Spring 2018-2019,Mathematics,216.0,4,Clark,498.0
59,4.0,1.0,School B,Spring 2018-2019,Reading,212.99977741996958,4,Clark,498.0
60,5.0,0.0,School C,Fall 2017-2018,Mathematics,172.0,3,Davis,447.0
61,5.0,0.0,School C,Fall 2017-2018,Reading,178.0,3,Davis,463.0
62,5.0,0.0,School C,Fall 2018-2019,Mathematics,190.0,4,Moore,490.0
63,5.0,0.0,School C,Fall 2018-2019,Reading,191.0,4,Moore,464.0
64,5.0,0.0,School C,Winter 2017-2018,Mathematics,179.67718333785584,3,Davis,447.0
65,5.0,0.0,School C,Winter 2017-2018,Reading,215.0,3,Davis,463.0
66,5.0,0.0,School C,Winter 2018-2019,Mathematics,196.0,4,Moore,490.0
67,5.0,0.0,School C,Winter 2018-2019,Reading,194.6357157258376,4,Moore,464.0
68,5.0,0.0,School C,Spring 2017-2018,Mathematics,186.68564078899414,3,Davis,447.0
69,5.0,0.0,School C,Spring 2017-2018,Reading,221.0,3,Davis,463.0
70,5.0,0.0,School C,Spring 2018-2019,Mathematics,224.0,4,Moore,490.0
71,5.0,0.0,School C,Spring 2018-2019,Reading,199.0794167027811,4,Moore,464.0
72,6.0,1.0,School A,Fall 2017-2018,Mathematics,188.0,3,Miller,433.0
73,6.0,1.0,School A,Fall 2017-2018,Reading,199.0,3,Miller,481.0
74,6.0,1.0,School A,Fall 2018-2019,Mathematics,196.0,4,Taylor,510.0
75,6.0,1.0,School A,Fall 2018-2019,Reading,201.0,4,Taylor,480.0
76,6.0,1.0,School A,Winter 2017-2018,Mathematics,195.34300677895644,3,Miller,433.0
77,6.0,1.0,School A,Winter 2017-2018,Reading,179.0,3,Miller,481.0
78,6.0,1.0,School A,Winter 2018-2019,Mathematics,210.0,4,Taylor,510.0
79,6.0,1.0,School A,Winter 2018-2019,Reading,205.95164402348226,4,Taylor,480.0
80,6.0,1.0,School A,Spring 2017-2018,Mathematics,202.08338117811445,3,Miller,433.0
81,6.0,1.0,School A,Spring 2017-2018,Reading,180.0,3,Miller,481.0
82,6.0,1.0,School A,Spring 2018-2019,Mathematics,230.0,4,Taylor,510.0
83,6.0,1.0,School A,Spring 2018-2019,Reading,208.47132474548673,4,Taylor,480.0
84,7.0,0.0,School B,Fall 2017-2018,Mathematics,188.0,3,Roberts,476.0
85,7.0,0.0,School B,Fall 2017-2018,Reading,199.0,3,Roberts,477.0
86,7.0,0.0,School B,Fall 2018-2019,Mathematics,203.0,4,Davis,491.0
87,7.0,0.0,School B,Fall 2018-2019,Reading,207.0,4,Davis,496.0
88,7.0,0.0,School B,Winter 2017-2018,Mathematics,195.40056464696886,3,Roberts,476.0
89,7.0,0.0,School B,Winter 2017-2018,Reading,217.0,3,Roberts,477.0
90,7.0,0.0,School B,Winter 2018-2019,Mathematics,208.0,4,Davis,491.0
91,7.0,0.0,School B,Winter 2018-2019,Reading,211.96537284383209,4,Davis,496.0
92,7.0,0.0,School B,Spring 2017-2018,Mathematics,201.39456390238118,3,Roberts,476.0
93,7.0,0.0,School B,Spring 2017-2018,Reading,221.0,3,Roberts,477.0
94,7.0,0.0,School B,Spring 2018-2019,Mathematics,199.0,4,Davis,491.0
95,7.0,0.0,School B,Spring 2018-2019,Reading,216.42947221522567,4,Davis,496.0
96,8.0,0.0,School C,Fall 2017-2018,Mathematics,185.0,3,Davis,474.0
97,8.0,0.0,School C,Fall 2017-2018,Reading,160.0,3,Davis,460.0
98,8.0,0.0,School C,Fall 2018-2019,Mathematics,173.0,4,Hill,508.0
99,8.0,0.0,School C,Fall 2018-2019,Reading,191.0,4,Hill,493.0
100,8.0,0.0,School C,Winter 2017-2018,Mathematics,193.80884274743164,3,Davis,474.0
101,8.0,0.0,School C,Winter 2017-2018,Reading,201.0,3,Davis,460.0
102,8.0,0.0,School C,Winter 2018-2019,Mathematics,208.0,4,Hill,508.0
103,8.0,0.0,School C,Winter 2018-2019,Reading,197.10649783099188,4,Hill,493.0
104,8.0,0.0,School C,Spring 2017-2018,Mathematics,198.07553279745838,3,Davis,474.0
105,8.0,0.0,School C,Spring 2017-2018,Reading,178.0,3,Davis,460.0
106,8.0,0.0,School C,Spring 2018-2019,Mathematics,221.0,4,Hill,508.0
107,8.0,0.0,School C,Spring 2018-2019,Reading,198.0735710425198,4,Hill,493.0
108,9.0,1.0,School A,Fall 2017-2018,Mathematics,179.0,3,Smith,482.0
109,9.0,1.0,School A,Fall 2017-2018,Reading,209.0,3,Smith,472.0
110,9.0,1.0,School A,Fall 2018-2019,Mathematics,209.0,4,Wilson,506.0
111,9.0,1.0,School A,Fall 2018-2019,Reading,207.0,4,Wilson,489.0
112,9.0,1.0,School A,Winter 2017-2018,Mathematics,188.02444454340542,3,Smith,482.0
113,9.0,1.0,School A,Winter 2017-2018,Reading,206.0,3,Smith,472.0
114,9.0,1.0,School A,Winter 2018-2019,Mathematics,218.0,4,Wilson,506.0
115,9.0,1.0,School A,Winter 2018-2019,Reading,213.3187756645545,4,Wilson,489.0
116,9.0,1.0,School A,Spring 2017-2018,Mathematics,191.83808101665554,3,Smith,482.0
117,9.0,1.0,School A,Spring 2017-2018,Reading,163.0,3,Smith,472.0
118,9.0,1.0,School A,Spring 2018-2019,Mathematics,212.0,4,Wilson,506.0
119,9.0,1.0,School A,Spring 2018-2019,Reading,214.84996318857725,4,Wilson,489.0
120,10.0,1.0,School B,Fall 2017-2018,Mathematics,178.0,3,Williams,458.0
121,10.0,1.0,School B,Fall 2017-2018,Reading,189.0,3,Williams,486.0
122,10.0,1.0,School B,Fall 2018-2019,Mathematics,206.0,4,White,500.0
123,10.0,1.0,School B,Fall 2018-2019,Reading,210.0,4,White,475.0
124,10.0,1.0,School B,Winter 2017-2018,Mathematics,187.08871597126762,3,Williams,458.0
125,10.0,1.0,School B,Winter 2017-2018,Reading,183.0,3,Williams,486.0
126,10.0,1.0,School B,Winter 2018-2019,Mathematics,223.0,4,White,500.0
127,10.0,1.0,School B,Winter 2018-2019,Reading,216.01584443661224,4,White,475.0
128,10.0,1.0,School B,Spring 2017-2018,Mathematics,192.0353412714582,3,Williams,458.0
129,10.0,1.0,School B,Spring 2017-2018,Reading,195.0,3,Williams,486.0
130,10.0,1.0,School B,Spring 2018-2019,Mathematics,211.0,4,White,500.0
131,10.0,1.0,School B,Spring 2018-2019,Reading,217.96557258962835,4,White,475.0
132,11.0,1.0,School C,Fall 2017-2018,Mathematics,183.0,3,Rhodes,438.0
133,11.0,1.0,School C,Fall 2017-2018,Reading,147.0,3,Rhodes,450.0
134,11.0,1.0,School C,Fall 2018-2019,Mathematics,175.0,4,Moore,491.0
135,11.0,1.0,School C,Fall 2018-2019,Reading,218.0,4,Moore,499.0
136,11.0,1.0,School C,Winter 2017-2018,Mathematics,193.01254893604164,3,Rhodes,438.0
137,11.0,1.0,School C,Winter 2017-2018,Reading,210.0,3,Rhodes,450.0
138,11.0,1.0,School C,Winter 2018-2019,Mathematics,225.0,4,Moore,491.0
139,11.0,1.0,School C,Winter 2018-2019,Reading,223.52369167568827,4,Moore,499.0
140,11.0,1.0,School C,Spring 2017-2018,Mathematics,194.75743233640267,3,Rhodes,438.0
141,11.0,1.0,School C,Spring 2017-2018,Reading,200.0,3,Rhodes,450.0
142,11.0,1.0,School C,Spring 2018-2019,Mathematics,219.0,4,Moore,491.0
143,11.0,1.0,School C,Spring 2018-2019,Reading,225.3555308359961,4,Moore,499.0
144,12.0,1.0,School A,Fall 2017-2018,Mathematics,187.0,3,Smith,424.0
145,12.0,1.0,School A,Fall 2017-2018,Reading,198.0,3,Smith,458.0
146,12.0,1.0,School A,Fall 2018-2019,Mathematics,216.0,4,Brown,535.0
147,12.0,1.0,School A,Fall 2018-2019,Reading,207.0,4,Brown,484.0
148,12.0,1.0,School A,Winter 2017-2018,Mathematics,195.20070740895878,3,Smith,424.0
149,12.0,1.0,School A,Winter 2017-2018,Reading,182.0,3,Smith,458.0
150,12.0,1.0,School A,Winter 2018-2019,Mathematics,254.0,4,Brown,535.0
151,12.0,1.0,School A,Winter 2018-2019,Reading,212.26827608678448,4,Brown,484.0
152,12.0,1.0,School A,Spring 2017-2018,Mathematics,200.6769983440579,3,Smith,424.0
153,12.0,1.0,School A,Spring 2017-2018,Reading,202.0,3,Smith,458.0
154,12.0,1.0,School A,Spring 2018-2019,Mathematics,209.0,4,Brown,535.0
155,12.0,1.0,School A,Spring 2018-2019,Reading,215.470906172894,4,Brown,484.0
156,13.0,1.0,School B,Fall 2017-2018,Mathematics,208.0,3,Williams,466.0
157,13.0,1.0,School B,Fall 2017-2018,Reading,217.0,3,Williams,482.0
158,13.0,1.0,School B,Fall 2018-2019,Mathematics,218.0,4,Clark,483.0
159,13.0,1.0,School B,Fall 2018-2019,Reading,203.0,4,Clark,491.0
160,13.0,1.0,School B,Winter 2017-2018,Mathematics,216.23976777701415,3,Williams,466.0
161,13.0,1.0,School B,Winter 2017-2018,Reading,178.0,3,Williams,482.0
162,13.0,1.0,School B,Winter 2018-2019,Mathematics,203.0,4,Clark,483.0
163,13.0,1.0,School B,Winter 2018-2019,Reading,210.04790624538094,4,Clark,491.0
164,13.0,1.0,School B,Spring 2017-2018,Mathematics,221.19704308763815,3,Williams,466.0
165,13.0,1.0,School B,Spring 2017-2018,Reading,185.0,3,Williams,482.0
166,13.0,1.0,School B,Spring 2018-2019,Mathematics,192.0,4,Clark,483.0
167,13.0,1.0,School B,Spring 2018-2019,Reading,210.78042546593156,4,Clark,491.0
168,14.0,0.0,School C,Fall 2017-2018,Mathematics,196.0,3,Rhodes,499.0
169,14.0,0.0,School C,Fall 2017-2018,Reading,209.0,3,Rhodes,458.0
170,14.0,0.0,School C,Fall 2018-2019,Mathematics,195.0,4,Walker,526.0
171,14.0,0.0,School C,Fall 2018-2019,Reading,198.0,4,Walker,502.0
172,14.0,0.0,School C,Winter 2017-2018,Mathematics,204.50454320431894,3,Rhodes,499.0
